street,length
Memorial Dr,30328.30448
Massachusetts Ave,22875.69145
Cambridge St,12699.18742
Mt Auburn St,10837.6063
Broadway,10238.38092
Huron Ave,9667.985786
Alewife Brook Pkwy,8228.677047
Harvard St,6930.194887
Garden St,6771.520665
Putnam Ave,6286.622931
Beacon St,6044.469015
Concord Tpk,5709.116133
Main St,5685.391778
Green St,5220.498676
Windsor St,5099.420657
Walden St,4805.426325
Franklin St,4758.932506
Brookline St,4692.001664
Columbia St,4494.40897
Hampshire St,4414.476332
Magazine St,4373.396121
Monsignor OBrien Hwy,4302.211058
Rindge Ave,4296.482742
Norfolk St,4181.144337
Pearl St,4076.460111
Blanchard Rd,4065.495822
Greenough Blvd,4039.259761
Fayerweather St,4017.226602
Sidney St,3995.08967
Binney St,3916.728073
Pleasant St,3885.895277
Third St,3831.757356
Coolidge Ave,3808.851778
Albany St,3800.95767
Prospect St,3789.300252
Sherman St,3727.989665
Oxford St,3666.008534
Acorn Pk,3565.219798
Western Ave,3317.656266
Waverly St,3314.911467
River St,3293.800715
Rogers St,3126.587945
First St,3113.45584
Lakeview Ave,3107.865336
Upland Rd,3023.685433
Thorndike St,2934.356647
Orchard St,2914.564622
Land Blvd,2887.127451
Inman St,2877.741591
Fifth St,2860.349119
Allston St,2788.448315
Elm St,2781.630525
Second St,2771.745588
Charles St,2741.792196
Spring St,2741.361491
Lexington Ave,2730.571764
Gore St,2676.619351
Kirkland St,2615.375507
Sparks St,2599.059653
Raymond St,2573.225074
Pemberton St,2560.441027
Tremont St,2538.281908
Chestnut St,2488.521867
Fawcett St,2466.914305
Webster Ave,2341.549619
Cardinal Medeiros Ave,2306.161532
Sixth St,2302.28381
Cambridge Pkwy,2269.392054
Trowbridge St,2267.879646
Linnaean St,2250.334336
Appleton St,2241.267833
Larch Rd,2205.603048
Washington St,2203.446812
Dana St,2198.135354
Richdale Ave,2188.222865
Bent St,2170.897906
Vassal Ln,2157.222523
Harvey St,2100.233399
Ellery St,2098.639535
Harvard Bridge,2098.568906
Hancock St,2032.451261
Erie St,2027.224407
Holworthy St,2022.889812
Sacramento St,2021.394015
Sciarappa St,2000.935523
Dudley St,1975.440399
Fulkerson St,1975.289014
Ames St,1960.814198
Grove St,1950.255837
Cushing St,1911.969421
Gerrys Landing Rd,1896.573222
Line St,1880.281718
North Point Blvd,1873.325806
Wendell St,1869.222613
Chilton St,1863.602197
Elm St N,1861.112497
Francis Ave,1848.871323
Reservoir St,1787.500482
Portland St,1778.97676
Willow St,1759.452015
Walker St,1724.872169
Coolidge Hill,1705.907183
Berkshire St,1656.263496
Fresh Pond Ln,1653.160718
Quincy St,1630.681013
Cedar St,1598.625168
Banks St,1598.581538
Amherst St,1591.107879
Shepard St,1582.57327
New St,1571.9941
JFK St,1571.783074
Whittemore Ave,1565.809316
Market St,1542.247905
Auburn St,1542.072129
Belmont St,1508.892302
Galilei Way,1503.236896
Hamilton St,1472.976943
Grozier Rd,1448.401779
Foster St,1442.161124
Howard St,1413.446458
Antrim St,1408.841509
Jackson St,1404.142823
Highland St,1401.583415
Clifton St,1399.550446
Clay St,1399.221501
Reed St,1397.379792
Haskell St,1391.578
Chauncy St,1338.868067
Aberdeen Ave,1337.953519
Fayette St,1337.813456
Craigie St,1323.01715
Avon Hill St,1318.089411
Pacific St,1317.330611
Landsdowne St,1309.849625
Buckingham St,1268.402041
